outflow_id;section_name;section_in_id;section_out_id;section_out_name;section_out_share;section_out_share_comment;section_out_function;section_out_timeseries_id
MO_S03;Dahme;S02;S07;Spree 1;0.9;Median tbc;y=x-(0.152*x-1.6);
MO_S03;Dahme;S02;S21a;Rudower Teltowkanal 1;0.1;1 - section_out_share_S07;y=0.152*x-1.6;
MO_S07;Spree 1;S05;S09;Spree 2;0.86;Median, tbc;y=x-(-0.00000000001144*x^6+0.0000000086378*x^5-0.0000025462*x^4+0.00036379*x^3-0.024896*x^2+0.6707*x-1.86099);
MO_S07;Spree 1;S05;S12;Britzer Verbindungskanal;0.14;1 - section_out_share_S09;y=-0.00000000001144*x^6+0.0000000086378*x^5-0.0000025462*x^4+0.00036379*x^3-0.024896*x^2+0.6707*x-1.86099;
MO_S09;Spree 2;S07;S15;Spree 3;0.91;aus MQ_Schuhmacher;;
MO_S09;Spree 2;S07;S14;Landwehrkanal;0.09;1 - section_out_share_S15;;
MO_S12;Britzer Verbindungskanal;S09;S22;Teltowkanal 1;0.89;aus MQ_Schuhmacher;y=x-(0.11*x);
MO_S12;Britzer Verbindungskanal;S09;S13;Neuköllner SF-Kanal;0.11;1 - section_out_share_S22;y=0.11*x;
MO_S15;Spree 3;S09;S17;Spree 4;0.62;aus MQ_Schumacher;y=x-(0.39*x-0.16);
MO_S15;Spree 3;S09;S18;BSS-Kanal;0.38;aus MQ_Schumacher;y=0.39*x-0.16;
MO_S16;Panke;Panke_baseflow_no_Q_KW_SCH_Panke;S18;BSS-Kanal;0.95;tbd - grobe Schätzung;;share_Panke_to_BSSKanal
MO_S16;Panke;Panke_baseflow_no_Q_KW_SCH_Panke;H01;Nordgraben;0.05;1 - section_out_share_S18;;share_Panke_to_Nordgraben
MO_S23;Teltowkanal 3;S22a;Out;Outflow Potsdamer Havel;0.8;aus MQ_Schumacher;y=x-(0.21*x-0.10);
MO_S23;Teltowkanal 3;S22a;H09;Wannsee;0.2;aus MQ_Schumacher;y=0.21*x-0.10;
