section_id;section_name;section_in_id;section_out_id;volume_m3;area_m2;branch_id;no_neg_flow_corr;no_transfer_section_up_neg_flow;conc_tracer.cso;conc_tracer.inlet;conc_tracer.rain;conc_tracer.ww_discharge;conc_tracer.wwtp;conc_tracer.rain_runoff;conc_tracer.rain_direct
S01;Seddinsee und Gosener Kanal;inlet;S02;10150000;2617865;1;NA;NA;0,00000000000000e+00;0,9972025412647937;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;2,79745873520639e-03
S02;Langer See (Dahme);S01;S03;12050000;2432101;1;NA;NA;0,00000000000000e+00;0,9967370517679807;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;3,26294823201936e-03
S03;Dahme;S02;MO_S03;1380000;1532065;1;NA;NA;0,00000000000000e+00;0,9959306383439251;1,99442475243846e-04;1,41765822376224e-45;1,02385205487047e-44;2,03926402136093e-04;3,86543525393878e-03
S04;Müggelsee;inlet;S05a;28700000;7666521;2;NA;NA;1,81185135061334e-206;0,9748054843699427;2,21155716138931e-09;7,36906456374282e-25;5,90624208850810e-06;1,28723927348959e-07;2,51884806640415e-02
S05;Müggelspree;S05a;S07;314000;NA;2;NA;NA;0,00000000000000e+00;0,8889523322924423;2,72723878547409e-03;0,00000000000000e+00;8,90950529949839e-02;2,82310976940613e-03;1,91295049431677e-02
S05a;Müggelspree 2;S04;S05;664000;NA;2;NA;NA;0,00000000000000e+00;0,9753305612610852;0,00000000000000e+00;0,00000000000000e+00;7,81625637835254e-29;5,91527205631105e-186;2,46694387389148e-02
S06;Erpe (NH-MF);inlet;S05;10000;NA;2;NA;NA;0,00000000000000e+00;0,4230769051921340;0,00000000000000e+00;0,00000000000000e+00;5,76923094807866e-01;0,00000000000000e+00;0,00000000000000e+00
S07;Spree 1;S05;MO_S07;1790000;NA;2;NA;NA;2,27974833511072e-317;0,9745008169479168;1,55206770576806e-03;7,06680468458290e-26;1,68899646255249e-02;1,57611874345564e-03;7,03309968310275e-03
S08;Wuhle;inlet;S07;15000;NA;2;Yes;NA;0,00000000000000e+00;0,9679842624446132;3,20478606212221e-02;0,00000000000000e+00;0,00000000000000e+00;3,20157375553868e-02;0,00000000000000e+00
S09;Spree 2;S07;MO_S09;1990000;NA;2;NA;NA;5,50167391888756e-281;0,9701064860951907;5,85498586636088e-03;6,83450682967880e-21;1,67765276841857e-02;6,01770837040928e-03;7,09927785021437e-03
S10;MHG-Graben;inlet;S11;7500;NA;2;NA;NA;0,00000000000000e+00;0,6004062879419272;3,99593712058073e-01;0,00000000000000e+00;0,00000000000000e+00;3,99593712058073e-01;0,00000000000000e+00
S11;Rummelsburger See;S10;S09;870000;NA;2;NA;NA;0,00000000000000e+00;0,1951594396089401;8,05143210989459e-01;0,00000000000000e+00;0,00000000000000e+00;8,04840560391060e-01;0,00000000000000e+00
S12;Britzer Verbindungskanal;S07;MO_S12;299000;NA;2;NA;NA;5,72183557654230e-297;0,9696417333095934;4,42632198813863e-03;1,44403495309840e-16;1,85631338754758e-02;4,71769520671004e-03;7,07743760822072e-03
