section_id;GewaesserId;start_km;Km;comment
S01;GoK;0,00;6,14;S113-Sed, S111-GoK
S01;GoG;0,00;3,00;S112-GoG
S01;SOW;43,65;47,30;S115-SdS, S114-OSK
S02;GKr;0,07;3,20;S120-GKr
S02;SOW;35,20;43,65;S101-SOW
S03;SOW;33,00;35,18;S102-SOW
S04;MgS;4,00;8,00;S102-MgS, S103-MgS (ohne Müggelspree)
S05;MgS;0,00;2,00;S103-MgS (nur Teil Müggelspree ab Allendestrasse)
S05a;MgS;2,00;4,00;S103-MgS (nur Teil Müggelspree ab Allendestrasse)
S06;Erpe;0,00;3,70;
S07;SOW;26,50;32,85;S103-SOW
S08;Wuhle;0,00;17,30;
S09;SOW;21,30;26,50;S104-SOW, S105-SOWW
S10;MHGG;0,00;8,50;
S11;RmS;0,09;1,50;S108-RuS
S12;BVK;28,30;31,74;S109-BVK
S13;NSK;0,00;4,00;S201-Nsk
S14;LWK;0,00;10,70;S107-Lwk, S202-Lwk, S203-Lwk, S311-Lwk
S15;SOW;14,50;21,30;S106-SOW, S107-SOW, S301-SOW, S302-SOW
S15;SpK;0,00;2,00;S125-SpK, S310-SpK
S16;Panke;0,00;17,60;
S17;SOW;9,10;14,50;S303-SOW
S18;BSK;8,60;12,20;S306-BSSK
S18;WHK;0,00;3,07;S308-WHK, S309-WHK
S19;SOW;4,00;8,95;S304-SOW, S305-SOW, S501-SOW (bis WW JFH, km 4,0)
S20;SOW;0,00;4,00;S501-SOW (bis WW JFH)
S21a;TeK;36,00;37,83;S117-TeK
S21;TeK;28,30;36,00;S117-TeK
S22;TeK;8,40;28,30;S118-TeK
S22a;TeK;3,30;8,40;S521-TeK
S23;TeK;0,00;3,30;S520-TeK
H01;Nordgraben;0,00;12,30;
H02;Tegeler_Fliess;0,00;7,36;
H03;TgS;0,17;5,10;S403-TeS
H04;HOW;6,40;11,65;S402-HOW (bis Konradshöhe)
H05;HOW;3,41;6,40;S402-HOW (Konradshöhe - Tegeler See)
H06;HOW;0,55;3,41;S401-HOW
H07;HOW;0,00;0,55;S530-HOW
H07;UHW;0,00;4,00;"S502-UHW; S503-UHW"
H08;UHW;4,00;17,18;S504-UHW, S505-UHW
H09;GWS;0,00;3,50;S523-GrW
H09;GrK;0,30;3,90;S522-GrK
Out;UHW;17,18;18,00;S519-End
