backflow_id;section_name;section_backflow_out_id;section_backflow_out_name;section_backflow_out_share
MB_S05;Müggelspree;S06;Erpe (NH-MF);0
MB_S05;Müggelspree;S05a;Müggelspree 2;1
MB_S14;Landwehrkanal;S09;Spree 2;0,5
MB_S14;Landwehrkanal;S13;Neuköllner SF-Kanal;0,5
MB_H08;Unterhavel 2;H07;Unterhavel 1;0
MB_H08;Unterhavel 2;H09;Wannsee;1
