Bemerkung;ds_link_id;surface_water;water_body_km;section_id;section_name;CSO_id;y-coordinate;x-coordinate;lat_grad;lat_min;lat_s;lon_grad;lon_min;lon_s
;16244w07.1;Landwehrkanal;3;S14;Landwehrkanal;CSO_2;21481,7;19870,1;52;30;20;13;21;9
;16231001.1;Landwehrkanal;3,3;S14;Landwehrkanal;CSO_2;21760,4;19995,7;52;30;24;13;21;24
;16235E07.1;Landwehrkanal;3,6;S14;Landwehrkanal;CSO_2;22018;19895;52;30;21;13;21;38
;16234010.2;Landwehrkanal;3,7;S14;Landwehrkanal;CSO_2;22134,4;19883;52;30;20;13;21;44
;16236E01.1;Landwehrkanal;3,7;S14;Landwehrkanal;CSO_2;22123;19865;52;30;20;13;21;43
;16234006.2;Landwehrkanal;3,8;S14;Landwehrkanal;CSO_2;22221,3;19887,4;52;30;20;13;21;48
;16223E05.1;Landwehrkanal;4;S14;Landwehrkanal;CSO_2;22412;19902;52;30;21;13;21;59
;16221001.1;Landwehrkanal;4;S14;Landwehrkanal;CSO_2;22411,3;19921;52;30;22;13;21;59
;16226012.2;Landwehrkanal;4,4;S14;Landwehrkanal;CSO_2;22809,7;19771,5;52;30;17;13;22;20
;16226009.1;Landwehrkanal;4,5;S14;Landwehrkanal;CSO_2;22875;19661;52;30;13;13;22;23
;16226E04.1;Landwehrkanal;4,7;S14;Landwehrkanal;CSO_2;22983,3;19567,3;52;30;10;13;22;29
;15222E05.1;Landwehrkanal;4,8;S14;Landwehrkanal;CSO_2;23072;19438;52;30;6;13;22;34
;15222E08.1;Landwehrkanal;4,9;S14;Landwehrkanal;CSO_2;23135,4;19408,8;52;30;5;13;22;37
;14211901.1;Landwehrkanal;5,3;S14;Landwehrkanal;CSO_2;23335,9;19116,6;52;29;56;13;22;48
;14212E07.1;Landwehrkanal;5,6;S14;Landwehrkanal;CSO_2;23671;19080,5;52;29;54;13;23;5
;14212903.1;Landwehrkanal;5,8;S14;Landwehrkanal;CSO_2;23903,1;18993,5;52;29;52;13;23;18
;14201A01.1;Landwehrkanal;5,9;S14;Landwehrkanal;CSO_2;24004,6;18982,5;52;29;51;13;23;23
;15205006.1;Landwehrkanal;6,1;S14;Landwehrkanal;CSO_2;24172,1;18982,6;52;29;51;13;23;32
;14201903.1;Landwehrkanal;6,1;S14;Landwehrkanal;CSO_2;24123,1;18956,9;52;29;51;13;23;29
;15205504.1;Landwehrkanal;6,3;S14;Landwehrkanal;CSO_2;24379,7;19015,1;52;29;52;13;23;43
;15206951.1;Landwehrkanal;6,5;S14;Landwehrkanal;CSO_2;24514,5;18981,6;52;29;51;13;23;50
;15206E01.1;Landwehrkanal;6,5;S14;Landwehrkanal;CSO_2;24578;18961,4;52;29;51;13;23;54
;14204905.1;Landwehrkanal;6,8;S14;Landwehrkanal;CSO_2;24848;18854,7;52;29;47;13;24;8
;14193703.1;Landwehrkanal;7;S14;Landwehrkanal;CSO_2;25014,5;18833,8;52;29;47;13;24;17
;14193702.1;Landwehrkanal;7;S14;Landwehrkanal;CSO_2;25002;18835,3;52;29;47;13;24;16
;15195E01.1;Landwehrkanal;7;S14;Landwehrkanal;CSO_2;25054,4;18858,3;52;29;47;13;24;19
;14192902.1;Landwehrkanal;7,5;S14;Landwehrkanal;CSO_2;25544,3;18725,1;52;29;43;13;24;45
;14183902.1;Landwehrkanal;7,7;S14;Landwehrkanal;CSO_2;25685,4;18683,5;52;29;42;13;24;42
;14181004.2;Landwehrkanal;7,7;S14;Landwehrkanal;CSO_2;25676;18747,6;52;29;44;13;24;52
;14183702.1;Landwehrkanal;7,7;S14;Landwehrkanal;CSO_2;25734,1;18695,9;52;29;42;13;24;55
;14182010.2;Landwehrkanal;8;S14;Landwehrkanal;CSO_2;25994,5;18794,6;52;29;45;13;25;9
;14186704.1;Landwehrkanal;8;S14;Landwehrkanal;CSO_2;26037,5;18770,7;52;29;45;13;25;11
;14182008.2;Landwehrkanal;8,2;S14;Landwehrkanal;CSO_2;26200;18762;52;29;44;13;25;20
Ein Node mit zwei downstream links;14182E05.1;Landwehrkanal;8,3;S14;Landwehrkanal;CSO_2;26257,4;18742,8;52;29;44;13;25;23
Ein Node mit zwei downstream links;14182009.2;Landwehrkanal;8,3;S14;Landwehrkanal;CSO_2;26257,4;18742,8;52;29;44;13;25;23
;14184001.2;Landwehrkanal;8,4;S14;Landwehrkanal;CSO_2;26398,4;18626,2;52;29;40;13;25;30
;14171E02.1;Landwehrkanal;8,5;S14;Landwehrkanal;CSO_2;26458,3;18622,5;52;29;40;13;25;33
Ein Node mit zwei downstream links;14175001.3;Landwehrkanal;8,7;S14;Landwehrkanal;CSO_2;26604,3;18516;52;29;37;13;25;41
Ein Node mit zwei downstream links;13171331.1;Landwehrkanal;8,7;S14;Landwehrkanal;CSO_2;26604,3;18516;52;29;37;13;25;41
;14175953.1;Landwehrkanal;8,8;S14;Landwehrkanal;CSO_2;26722;18478,1;52;29;35;13;25;47
;13172004.2;Landwehrkanal;9,1;S14;Landwehrkanal;CSO_2;27020;18313,7;52;29;30;13;26;3
;13172905.1;Landwehrkanal;9,2;S14;Landwehrkanal;CSO_2;27103,6;18249,8;52;29;28;13;26;8
;13172007.2;Landwehrkanal;9,3;S14;Landwehrkanal;CSO_2;27170,7;18236,6;52;29;28;13;26;11
;13161E03.1;Landwehrkanal;9,8;S14;Landwehrkanal;CSO_2;27520,7;18356,2;52;29;31;13;26;30
;14164E04.1;Landwehrkanal;10,2;S14;Landwehrkanal;CSO_2;27816,7;18732,9;52;29;44;13;26;45
;14164002.2;Landwehrkanal;10,2;S14;Landwehrkanal;CSO_2;27835,9;18724,4;52;29;43;13;26;46
;13163310.2;Neukoellner_Schifffahrtskanal;0,1;S13;Neuköllner SF-Kanal;CSO_1;27390,5;18036;52;29;21;13;26;23
;12161051.2;Neukoellner_Schifffahrtskanal;0,6;S13;Neuköllner SF-Kanal;CSO_1;27548,8;17696,1;52;29;10;13;26;31
;12164051.1;Neukoellner_Schifffahrtskanal;0,8;S13;Neuköllner SF-Kanal;CSO_1;27661,1;17563,3;52;29;6;13;26;37
;12164003.2;Neukoellner_Schifffahrtskanal;0,8;S13;Neuköllner SF-Kanal;CSO_1;27712,2;17530,7;52;29;5;13;26;40
;12164701.1;Neukoellner_Schifffahrtskanal;0,8;S13;Neuköllner SF-Kanal;CSO_1;27685,9;17549,3;52;29;5;13;26;38
;12164002.2;Neukoellner_Schifffahrtskanal;0,8;S13;Neuköllner SF-Kanal;CSO_1;27703,1;17569,3;52;29;6;13;26;39
;12166E01.1;Neukoellner_Schifffahrtskanal;1;S13;Neuköllner SF-Kanal;CSO_1;27868,5;17397,1;52;29;0;13;26;48
;11151004.2;Neukoellner_Schifffahrtskanal;1,4;S13;Neuköllner SF-Kanal;CSO_1;28207,2;17143,5;52;28;52;13;27;6
;11151005.1;Neukoellner_Schifffahrtskanal;1,4;S13;Neuköllner SF-Kanal;CSO_1;28183,4;17122,9;52;28;52;13;27;5
;09154903.1;Neukoellner_Schifffahrtskanal;3;S13;Neuköllner SF-Kanal;CSO_1;28481,2;15802,3;52;28;9;13;27;21
;09154007.1;Neukoellner_Schifffahrtskanal;3;S13;Neuköllner SF-Kanal;CSO_1;28463;15754;52;28;7;13;27;20
Wurde zwei Gewässern zugeordnet, Ehemals Randbedingung Panke für BSSK, Jetzt Outlet in Panke?;22225703.1;Panke;0,1;S18;BSS-Kanal;CSO_5;22485;23315;52;32;11;13;22;2
;25215718.1;Panke;2,3;S18;BSS-Kanal;CSO_5;23203,5;25160,5;52;33;11;13;22;40
;25215001.1;Panke;2,3;S18;BSS-Kanal;CSO_5;23190,2;25126,8;52;33;10;13;22;39
;25226003.2;Panke;2,3;S18;BSS-Kanal;CSO_5;23208,5;25169,2;52;33;11;13;22;40
;25211701.1;Panke;2,8;S18;BSS-Kanal;CSO_5;23449,8;25501,9;52;33;22;13;22;53
;26213001.2;Panke;3,2;S18;BSS-Kanal;CSO_5;23585;25865,6;52;33;34;13;23;0
;26214703.1;Panke;3,2;S18;BSS-Kanal;CSO_5;23580,9;25844;52;33;33;13;22;59
;26213E06.1;Panke;3,2;S18;BSS-Kanal;CSO_5;23578;25854,3;52;33;34;13;22;59
Bisher die Randbedingung Kupfergraben für die Spree, Jetzt eigenständiger Auslass in den Kupfergraben? ;18204704.1;Kupfergraben;0,6;S15;Spree 3;CSO_3;24566,7;21225,7;52;31;4;13;23;53
;20325704.1;Spree;3,3;S19;Spree 5;CSO_6;14671,6;22325,1;52;31;38;13;15;8
;20301505.2;Spree;5,2;S19;Spree 5;CSO_6;16131,8;22482,3;52;31;44;13;16;25
;20301505.1;Spree;5,3;S19;Spree 5;CSO_6;16222,6;22500,3;52;31;44;13;16;30
;21306701.1;Spree;5,3;S19;Spree 5;CSO_6;16600;22700;52;31;51;13;16;50
;20293704,1;Spree;6;S19;Spree 5;CSO_6;16902,7;22505,7;52;31;44;13;17;6
;21285003.1;Spree;6,4;S19;Spree 5;CSO_6;17341,9;22691;52;31;50;13;17;29
;20283E01.1;Spree;7,2;S19;Spree 5;CSO_6;17701,8;22214;52;31;35;13;17;48
;19283701.1;Spree;7,8;S19;Spree 5;CSO_6;17891,9;21670,1;52;31;18;13;17;58
;19283E03.1;Spree;7,9;S19;Spree 5;CSO_6;17951,9;21710,3;52;31;19;13;18;2
;19286E03.1;Spree;8,1;S19;Spree 5;CSO_6;18152,1;21623,9;52;31;16;13;18;12
;19284706.1;Spree;8,3;S19;Spree 5;CSO_6;18297,4;21603,2;52;31;15;13;18;20
;19286702.1;Spree;8,3;S19;Spree 5;CSO_6;18311;21548,3;52;31;14;13;18;21
;19275E02.1;Spree;8,5;S19;Spree 5;CSO_6;18544;21529,5;52;31;13;13;18;33
 Link ID nicht vorhanden in der aktuellen Infoworks-Ausgabe;18272706.1;Spree;9;S19;Spree 5;CSO_6;19035,2;21476,4;52;31;11;13;18;59
;20265E01.1;Spree;9,8;S17;Spree 4;CSO_4;19526,5;22046,5;52;31;30;13;19;25
;19261507.1;Spree;9,9;S17;Spree 4;CSO_4;19604,5;21972,3;52;31;28;13;19;29
;19262702.1;Spree;10,1;S17;Spree 4;CSO_4;19758,6;21935,8;52;31;26;13;19;37
;19262704.1;Spree;10,3;S17;Spree 4;CSO_4;19889,9;21801,9;52;31;22;13;19;44
;18253701.1;Spree;11,2;S17;Spree 4;CSO_4;20280,7;21142,4;52;31;1;13;20;5
;18252901.1;Spree;11,5;S17;Spree 4;CSO_4;20508,1;21395,3;52;31;9;13;20;17
;20245701.1;Spree;12;S17;Spree 4;CSO_4;20771,8;21813,7;52;31;23;13;20;31
;19254002.1;Spree;12;S17;Spree 4;CSO_4;20721,7;21764,6;52;31;21;13;20;29
;19242E01.1;Spree;12,5;S17;Spree 4;CSO_4;21195,6;21683;52;31;18;13;20;54
;19235702.1;Spree;12,8;S17;Spree 4;CSO_4;21376,5;21447;52;31;11;13;21;3
;19224901.1;Spree;14,8;S15;Spree 3;CSO_3;23071,1;21702,8;52;31;19;13;22;33
;18222905.1;Spree;15,1;S15;Spree 3;CSO_3;23149,3;21399,5;52;31;9;13;22;37
;18211701.1;Spree;15,3;S15;Spree 3;CSO_3;23345,8;21346,1;52;31;8;13;22;48
;19215003.2;Spree;15,3;S15;Spree 3;CSO_3;23357,7;21399;52;31;9;13;22;48
;18211704.1;Spree;15,4;S15;Spree 3;CSO_3;23479,6;21377,3;52;31;9;13;22;55
;19216715.1;Spree;15,6;S15;Spree 3;CSO_3;23686,7;21486,3;52;31;12;13;23;6
;19212905.1;Spree;15,9;S15;Spree 3;CSO_3;23859,9;21714,5;52;31;20;13;23;15
;19214902.1;Spree;16;S15;Spree 3;CSO_3;23979,4;21695,8;52;31;19;13;23;21
;19203002.2;Spree;16,1;S15;Spree 3;CSO_3;24093;21702,1;52;31;19;13;23;27
;19201704.1;Spree;16,2;S15;Spree 3;CSO_3;24117,7;21759;52;31;21;13;23;29
;19201903.1;Spree;16,3;S15;Spree 3;CSO_3;24304;21736,1;52;31;20;13;23;39
;19202E01.1;Spree;16,6;S15;Spree 3;CSO_3;24549;21665,7;52;31;18;13;23;52
;19204903.1;Spree;16,7;S15;Spree 3;CSO_3;24647;21630,2;52;31;17;13;23;57
;19206004.2;Spree;16,8;S15;Spree 3;CSO_3;24683,2;21514,6;52;31;13;13;23;59
;18191901.1;Spree;17;S15;Spree 3;CSO_3;24858,2;21353,2;52;31;8;13;24;8
;18193705.1;Spree;17,3;S15;Spree 3;CSO_3;24985,4;21142,3;52;31;1;13;24;15
;18196901.1;Spree;18,1;S15;Spree 3;CSO_3;25704,2;20906,1;52;30;54;13;24;53
;18183709.1;Spree;18,2;S15;Spree 3;CSO_3;25804,3;20945,5;52;30;55;13;24;58
;17182E01.1;Spree;18,7;S15;Spree 3;CSO_3;26262;20652,9;52;30;46;13;25;23
;17186051.2;Spree;18,8;S15;Spree 3;CSO_3;26171,2;20415,4;52;30;38;13;25;18
;17186002.2;Spree;19,1;S15;Spree 3;CSO_3;26409,9;20261,6;52;30;33;13;25;30
Ein Node mit drei downstream links;16171001.2;Spree;19,3;S15;Spree 3;CSO_3;26582,6;20158,5;52;30;30;13;25;40
Ein Node mit drei downstream links;16171002.2;Spree;19,3;S15;Spree 3;CSO_3;26582,6;20158,5;52;30;30;13;25;40
Ein Node mit drei downstream links;16171003.2;Spree;19,3;S15;Spree 3;CSO_3;26582,6;20158,5;52;30;30;13;25;40
;17175E03.1;Spree;19,3;S15;Spree 3;CSO_3;26684,3;20292,3;52;30;34;13;25;45
;16172005.1;Spree;19,7;S15;Spree 3;CSO_3;27002,4;20086,6;52;30;27;13;26;2
;16165001.2;Spree;20,1;S15;Spree 3;CSO_3;27268,9;19679,2;52;30;14;13;26;16
;15161011.2;Spree;20,4;S15;Spree 3;CSO_3;27500,8;19543,6;52;30;10;13;26;28
;15162703.1;Spree;20,7;S15;Spree 3;CSO_3;27823,6;19482,9;52;30;8;13;26;46
;15153004.1;Spree;21,2;S15;Spree 3;CSO_3;28264,6;19249,1;52;30;0;13;27;9
;15156901.1;Spree;21,5;S15;Spree 3;CSO_3;28569,1;19110,5;52;29;56;13;27;25
;15145702.1;Spree;21,9;S15;Spree 3;CSO_3;28875,5;18951,9;52;29;51;13;27;41
;21361531.1;Untere_Havel;0,1;H01;Unterhavel 1;CSO_7;11534,7;23149,6;52;32;4;13;12;21
;21361E09.1;Untere_Havel;0,3;H01;Unterhavel 1;CSO_7;11387,2;23108,5;52;32;3;13;12;13
;21361516.1;Untere_Havel;0,4;H01;Unterhavel 1;CSO_7;11317;23053,9;52;32;1;13;12;9
Ggfs entfernen;22381001.2;Untere_Havel;0,5;H01;Unterhavel 1;CSO_7;10138,2;23803,6;52;32;25;13;11;7
;20372704.1;Untere_Havel;0,9;H01;Unterhavel 1;CSO_7;11113,7;22529,7;52;31;44;13;11;59
Ggfs entfernen;19371001.2;Untere_Havel;1,1;H01;Unterhavel 1;CSO_7;10379,2;21909,6;52;31;24;13;11;20
;19363E01.1;Untere_Havel;1,9;H01;Unterhavel 1;CSO_7;11503,5;21617,3;52;31;15;13;12;20
;21281512.1;Westhafenkanal;0,4;S19;Spree 5;CSO_6;17725,6;22943,6;52;31;59;13;17;49
;21282505.1;Westhafenkanal;0,8;S19;Spree 5;CSO_6;18096;23038,6;52;32;2;13;18;9
;22264516.1;Westhafenkanal;2,3;S19;Spree 5;CSO_6;19622,9;23391,4;52;32;13;13;19;30
