Bemerkung;ds_link_id;surface_water;water_body_km;section_id;section_name;CSO_id;y-coordinate;x-coordinate;lat_grad;lat_min;lat_s;lon_grad;lon_min;lon_s
;23255701.1;Berlin-Spandauer_Schifffahrtskanal;8,3;S18;BSS-Kanal;CSO_5;20206;23833;52;32;28;13;20;1
;23256E01.1;Berlin-Spandauer_Schifffahrtskanal;8,3;S18;BSS-Kanal;CSO_5;20275;23807;52;32;27;13;20;4
Andere Node Bezeichnung im SQL Skript;22252rue5.1;Berlin-Spandauer_Schifffahrtskanal;8,7;S18;BSS-Kanal;CSO_5;20626,7;23615,1;52;32;21;13;20;23
Andere Node Bezeichnung im SQL Skript;22252303.2;Berlin-Spandauer_Schifffahrtskanal;8,7;S18;BSS-Kanal;CSO_5;20663,7;23663,2;52;32;22;13;20;25
;22231713.1;Berlin-Spandauer_Schifffahrtskanal;9,9;S18;BSS-Kanal;CSO_5;21740,3;23588;52;32;20;13;21;22
;22231704.1;Berlin-Spandauer_Schifffahrtskanal;9,9;S18;BSS-Kanal;CSO_5;21746,3;23585,1;52;32;20;13;21;23
;22233E01.1;Berlin-Spandauer_Schifffahrtskanal;10;S18;BSS-Kanal;CSO_5;21906,6;23498,8;52;32;17;13;21;31
;22223701.1;Berlin-Spandauer_Schifffahrtskanal;10,6;S18;BSS-Kanal;CSO_5;22387,3;23303,9;52;32;11;13;21;57
;20222706.1;Berlin-Spandauer_Schifffahrtskanal;11,6;S18;BSS-Kanal;CSO_5;22918;22336,5;52;31;40;13;22;25
;20223001.1;Berlin-Spandauer_Schifffahrtskanal;11,9;S18;BSS-Kanal;CSO_5;22743,4;22184,8;52;31;35;13;22;16
;20276E03.1;Charlottenburger_Verbindungskanal;0,6;S18;BSS-Kanal;CSO_5;18975,1;22099,2;52;31;32;13;18;56
;22366E04.1;Havel;0,1;H07;Unterhavel 1;CSO_7;11662,7;23365,1;52;32;11;13;12;28
;23363E02.1;Havel;0,8;H07;Unterhavel 1;CSO_7;11680,7;24006;52;32;32;13;12;28
Ggfs entfernen;24376001.2;Havel;0,8;H07;Unterhavel 1;CSO_7;10735,2;24423,3;52;32;45;13;11;38
;23362E02.1;Havel;1,1;H07;Unterhavel 1;CSO_7;11869;24256,3;52;32;40;13;12;38
;24364E02.1;Havel;1,6;H07;Unterhavel 1;CSO_7;12055,6;24685,1;52;32;54;13;12;48
Ggfs entfernen;25374301.2;Havel_Nebenarm;0,2;H07;Unterhavel 1;CSO_7;11005,3;25475,4;52;33;19;13;11;52
Ggfs entfernen;25374302.2;Havel_Nebenarm;0,2;H07;Unterhavel 1;CSO_7;11289;25455,2;52;33;19;13;12;7
Zusammenfassung der Outlets am Kupfergraben im SQL-Skript;19205002.3;Kupfergraben;0,1;S15;Spree 3;CSO_3;24351;21557,2;52;31;15;13;23;41
Zusammenfassung der Outlets am Kupfergraben im SQL-Skript;18201E02.1;Kupfergraben;0,3;S15;Spree 3;CSO_3;24459;21435,5;52;31;11;13;23;47
Zusammenfassung der Outlets am Kupfergraben im SQL-Skript;19206001.2;Kupfergraben;0,3;S15;Spree 3;CSO_3;24422,3;21474,1;52;31;12;13;23;45
Zusammenfassung der Outlets am Kupfergraben im SQL-Skript;18206706.1;Kupfergraben;0,9;S15;Spree 3;CSO_3;24690,2;20951,5;52;30;55;13;23;59
Zusammenfassung der Outlets am Kupfergraben im SQL-Skript;18193904.1;Kupfergraben;0,9;S15;Spree 3;CSO_3;24708,5;20964,7;52;30;56;13;24;0
;17193907.1;Kupfergraben;1,2;S15;Spree 3;CSO_3;24877,3;20605,6;52;30;44;13;24;9
;17193912.1;Kupfergraben;1,5;S15;Spree 3;CSO_3;25086,8;20504,6;52;30;41;13;24;20
;17194902.1;Kupfergraben;1,9;S15;Spree 3;CSO_3;25439,1;20711,1;52;30;47;13;24;39
;18272702.1;Landwehrkanal;0,1;S14;Landwehrkanal;CSO_2;19178,3;21441,3;52;31;10;13;19;7
;19265701.1;Landwehrkanal;0,2;S14;Landwehrkanal;CSO_2;19275,8;21395,3;52;31;9;13;19;12
;18261501.1;Landwehrkanal;0,4;S14;Landwehrkanal;CSO_2;19428,7;21269,3;52;31;5;13;19;20
;18263707.1;Landwehrkanal;0,6;S14;Landwehrkanal;CSO_2;19569,6;21172,3;52;31;2;13;19;28
;18261E04.1;Landwehrkanal;0,6;S14;Landwehrkanal;CSO_2;19574;21195,7;52;31;2;13;19;28
;18264E02.1;Landwehrkanal;0,6;S14;Landwehrkanal;CSO_2;19621,3;21181,2;52;31;2;13;19;30
;18266E05.1;Landwehrkanal;0,9;S14;Landwehrkanal;CSO_2;19806;20951,4;52;30;55;13;19;40
;18266E03.1;Landwehrkanal;1,1;S14;Landwehrkanal;CSO_2;19967,1;20812,7;52;30;50;13;19;49
;17262702.1;Landwehrkanal;1,2;S14;Landwehrkanal;CSO_2;19949,4;20787,6;52;30;49;13;19;48
Andere Node Bezeichnung im SQL Skript;17251701.1;Landwehrkanal;1,2;S14;Landwehrkanal;CSO_2;19997,1;20779,1;52;30;49;13;19;50
;17266904.1;Landwehrkanal;1,3;S14;Landwehrkanal;CSO_2;20035,8;20630,5;52;30;44;13;19;52
 Link ID nicht vorhanden in der aktuellen Infoworks-Ausgabe;FASKANE1.1;Landwehrkanal;1,3;S14;Landwehrkanal;CSO_2;20037;20628,8;52;30;44;13;19;52
;17255907.1;Landwehrkanal;1,5;S14;Landwehrkanal;CSO_2;20228,7;20549;52;30;42;13;20;3
;17254901.1;Landwehrkanal;1,7;S14;Landwehrkanal;CSO_2;20335,3;20524,5;52;30;41;13;20;8
;16241001.2;Landwehrkanal;2,4;S14;Landwehrkanal;CSO_2;21016,4;20157,1;52;30;29;13;20;44
;16241E03.1;Landwehrkanal;2,6;S14;Landwehrkanal;CSO_2;21145;20062;52;30;26;13;20;51
;16242E01.1;Landwehrkanal;2,7;S14;Landwehrkanal;CSO_2;21201,7;20050,8;52;30;26;13;20;54
;16244E01.1;Landwehrkanal;2,8;S14;Landwehrkanal;CSO_2;21318;19947;52;30;22;13;21;1
