section_id;section_name;section_in_id;section_out_id;volume_m3;area_m2;branch_id;no_neg_flow_corr;no_transfer_section_up_neg_flow;conc_tracer.cso;conc_tracer.inlet;conc_tracer.rain_runoff;conc_tracer.rain_direct;conc_tracer.ww_discharge;conc_tracer.wwtp
S15;Spree 3;S09;MO_S15;1354000;NA;2;NA;NA;3,30498937720365e-53;9,51943241230634e-01;2,30327363760418e-02;0,00907096325998461;1,70352989834776e-17;1,59529999524373e-02
S16;Panke;inlet;MO_S16;32000;NA;3;NA;NA;0,00000000000000e+00;4,47883877205727e-152;1,16111069914922e-01;0,00000000000000000;0,00000000000000e+00;8,83888930085078e-01
S17;Spree 4;S15;S19;859000;NA;4;NA;NA;4,75093174263009e-51;9,52131593092296e-01;2,29143712017565e-02;0,00904398005459131;2,71237279061561e-17;1,59099966559300e-02
S18;BSS-Kanal;S15;S19;854000;NA;4;NA;NA;2,49244867814066e-41;8,15802342482704e-01;4,30109239887835e-02;0,00770340259849063;2,84531651469961e-16;1,33483281209454e-01
S19;Spree 5;S17;S20;381963;NA;4;NA;NA;1,29838931393259e-17;8,99009083971291e-01;3,24145304268791e-02;0,00849475114312029;5,57938483055988e-11;6,00815804924320e-02
S20;Spree 6;S19;H07;1490000;NA;4;NA;NA;1,15176367865727e-17;7,86067237994367e-01;3,02172208277870e-02;0,00741712743990076;4,94954053227129e-11;1,76298366620671e-01
S21a;Rudower Teltowkanal 1;S03;S21;109000;NA;1;NA;NA;0,00000000000000e+00;9,91823881067731e-01;1,63325471349808e-03;0,00654286421877058;3,80448045063637e-17;2,32897843736594e-16
S21;Rudower Teltowkanal 2;S21a;S22;514000;NA;1;Yes;NA;0,00000000000000e+00;3,77537989532418e-01;3,67514441449727e-02;0,00242779046016322;7,23266419203956e-02;5,10956133942050e-01
S22;Teltowkanal 1;S21;S22a;2482000;NA;2;NA;NA;1,07307259316022e-237;5,77178208256389e-01;6,14506787347807e-02;0,00469183520953658;3,69382051556289e-02;3,19741072643661e-01
S22a;Teltowkanal 2;S22;S23;671000;NA;2;Yes;NA;1,07307259316022e-237;5,77178208256389e-01;6,14506787347807e-02;0,00469183520953658;3,69382051556289e-02;3,19741072643661e-01
S23;Teltowkanal 3;S22a;MO_S23;1231000;NA;5;NA;NA;1,35178745019402e-237;5,79659172089971e-01;5,93991799706626e-02;0,00467364420422654;3,71729724273810e-02;3,19095031307754e-01
H01;Nordgraben;S16;H03;9000;NA;3;NA;NA;0,00000000000000e+00;2,88504181483809e-114;3,60543428816442e-01;0,00000000000000000;0,00000000000000e+00;6,39456571183558e-01
H02;Tegeler Fließ;inlet;H03;12000;NA;3;NA;NA;0,00000000000000e+00;9,67210933068943e-01;3,27890669310570e-02;0,00000000000000000;0,00000000000000e+00;0,00000000000000e+00
H03;Tegeler See;H01;H06;29980000;3957622;3;NA;Yes;0,00000000000000e+00;6,15254524985960e-01;6,80994972397940e-02;0,04650688326834040;0,00000000000000e+00;2,70139087860216e-01
H04;Oberhavel 1;inlet;H05;6263000;NA;3;NA;NA;0,00000000000000e+00;9,98338444152103e-01;2,16444622033824e-04;0,00117243664524961;0,00000000000000e+00;2,72672595139689e-04
H05;Oberhavel 2;H04;H06;2603000;2868524;3;NA;NA;0,00000000000000e+00;9,68975539693496e-01;3,22787201498960e-03;0,02440679871037291;0,00000000000000e+00;3,38975213733881e-03
H06;Oberhavel 3;H05;H07;3544000;1141376;3;Yes;NA;0,00000000000000e+00;9,00242595380359e-01;2,30830815419870e-02;0,03205981899604890;0,00000000000000e+00;4,46144366347253e-02
H07;Unterhavel 1;H06;H08;840000;NA;5;NA;NA;1,06603557924320e-17;7,91389816409233e-01;3,32606029254573e-02;0,00914986820154964;4,58114485851914e-11;1,66199664059210e-01
H08;Unterhavel 2;H07;Out;61690000;13036596;5;NA;NA;5,08091496229358e-05;7,52875161687406e-01;2,51666644324114e-02;0,01649376472249435;2,36655107686705e-03;2,03047010851744e-01
H09;Wannsee;S23;H08;16380000;2819060;5;NA;NA;1,03002325319492e-20;4,51051125792560e-01;4,28179734849549e-02;0,02411829227400009;3,68834646209597e-02;4,45129142142391e-01
Out;Outflow Potsdamer Havel;NA;NA;NA;NA;5;Yes;NA;4,10623826111402e-05;7,19646975310485e-01;3,17335201199230e-02;0,01422629987417707;9,04349965670913e-03;2,25308611881458e-01
