name_river;area_m2;runoff_coefficient;rain_station_id;ageb1;flow_id
Wuhle;19485692;0,241;53;Wuhle;Wuhle
MHGG;18177661;0,273;53;Marzahn-Hohenschönhausener Grenzgraben;MHGG
Panke;22579609;0,285;400;Panke (ab Verteilerbauwerk bis Nordhafen);Panke
